Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_1625,"
Amap Saint Privat (Aubenas)","Rue des Jardins
07200
Saint-Privat",Rue des Jardins,CP_07200,Saint-Privat,Saint-Privat,CI_07289,BV_07019,Aubenas,ZE_8402,Aubenas,"44,6270439","4,4132457",,
id_1626,"
Amap Saint Simon","44 bis Chemin de Monlong
31100
Toulouse",44 bis Chemin de Monlong,CP_31100,Toulouse,Toulouse,CI_31555,BV_31555,Toulouse,ZE_7625,Toulouse,"43,5529667","1,3904869",,
id_1627,"
Amap Salicorne D'Abondance","6 Rue du Gouvernement
57630
Marsal",6 Rue du Gouvernement,CP_57630,Marsal,Marsal,CI_57448,BV_57132,Château-Salins,ZE_4419,Sarrebourg,"48,7905428","6,6089183",,
id_1628,"
Amap Sambanane","7 Boulevard Matabiau
31000
Toulouse",7 Boulevard Matabiau,CP_31000,Toulouse,Toulouse,CI_31555,BV_31555,Toulouse,ZE_7625,Toulouse,43.6150579,1.4448147,,
id_1629,"
Amap Soubiren","65700
Soublecause",,CP_65700,Soublecause,Soublecause,CI_65432,BV_65304,Maubourguet,ZE_7624,Tarbes-Lourdes,"43,5309284","-0,0271745",,
id_1630,"
Amap St Bonnet En Champsaur","05500
Saint-Bonnet-en-Champsaur",,CP_05500,Saint-Bonnet-en-Champsaur,Saint-Bonnet-en-Champsaur,CI_05132,BV_05132,Saint-Bonnet-en-Champsaur,ZE_9310,Gap,"44,6810961","6,098059921",,
id_1631,"
Amap Terre D'Échange","84210
Pernes-les-Fontaines",,CP_84210,Pernes-les-Fontaines,Pernes-les-Fontaines,CI_84088,BV_84031,Carpentras,ZE_9305,Carpentras,"43,9984627","5,059255",,
id_1632,"
Amap Terre En Vie","La Charmoise
45400
Chanteau",La Charmoise,CP_45400,Chanteau,Chanteau,CI_45072,BV_45234,Orléans,ZE_2410,Orléans,"47,9686075","1,9566787",,
id_1633,"
Amap Terres De Loire","La Hall Place Du Petit Marché
45190
Beaugency",La Hall Place Du Petit Marché,CP_45190,Beaugency,Beaugency,CI_45028,BV_45028,Beaugency,ZE_2410,Orléans,47.7770026,1.6314469,,
id_1634,"
Amap Thiais","94320
Thiais",,CP_94320,Thiais,Thiais,CI_94073,BV_75056,Paris,ZE_1109,Paris,"48,7643664","2,391024",,
id_1635,"
Amap Tournan Lombez","Damo Au Caches
32420
Tournan",Damo Au Caches,CP_32420,Tournan,Tournan,CI_32451,BV_31239,L'Isle-en-Dodon,ZE_7604,Auch,43.4321704,0.7839239,,
id_1636,"
Amap Valbonne","06560
Valbonne",,CP_06560,Valbonne,Valbonne,CI_06152,BV_06029,Cannes,ZE_9304,Cannes,"43,641141","7,0086255",,
id_1637,"
Amap Val'En Sol","70 Rue Malplaquet
59300
Valenciennes",70 Rue Malplaquet,CP_59300,Valenciennes,Valenciennes,CI_59606,BV_59606,Valenciennes,ZE_3222,Valenciennes,"50,3504636","3,5080068",,
id_1638,"
Amap Valrose","19 Avenue Caravadossi
06000
Nice",19 Avenue Caravadossi,CP_06000,Nice,Nice,CI_06088,BV_06088,Nice,ZE_9315,Nice,"43,7129862","7,2665774",,
id_1639,"
Amap Vaugines","84160
Vaugines",,CP_84160,Vaugines,Vaugines,CI_84140,BV_84089,Pertuis,ZE_9301,Aix-en-Provence,"43,7787614","5,4150769",,
id_1640,"
Amap Végétoiles","31530
Ramonville",,CP_31530,Ramonville,Ramonville-Saint-Agne,CI_31446,BV_31555,Toulouse,ZE_7625,Toulouse,"43,5557774","1,4763835",,
id_1641,"
Amap Verrière-Le-Buisson","91370
Verrières-le-Buisson",,CP_91370,Verrières-le-Buisson,Verrières-le-Buisson,CI_91645,BV_75056,Paris,ZE_1113,Saclay,"48,7467819","2,2653844",,
id_1642,"
Amap Vert Solidaire","Stade municipal Paul Sauvan, route de Carpentras
84330
Caromb","Stade municipal Paul Sauvan, route de Carpentras",CP_84330,Caromb,Caromb,CI_84030,BV_84031,Carpentras,ZE_9305,Carpentras,44.1021776,5.1027069,,
id_1643,"
Amap Veynes","05400
Veynes",,CP_05400,Veynes,Veynes,CI_05179,BV_05179,Veynes,ZE_9310,Gap,"44,5349009","5,8244718",,
id_1644,"
Amap Vizille","Avenue Aristide Briand
38220
Vizille",Avenue Aristide Briand,CP_38220,Vizille,Vizille,CI_38562,BV_38562,Vizille,ZE_8409,Grenoble,"45,0593071","5,7678926",,
id_1645,"
Amap Zule","Rue De Castelnau
54280
Champenoux",Rue De Castelnau,CP_54280,Champenoux,Champenoux,CI_54113,BV_54395,Nancy,ZE_4412,Nancy,"48,7405387","6,355421",,
id_1646,"
Amapapam","136 Rue de Rome
54700
Pont-à-Mousson",136 Rue de Rome,CP_54700,Pont-à-Mousson,Pont-à-Mousson,CI_54431,BV_54431,Pont-à-Mousson,ZE_4412,Nancy,"48,9166557","6,070527213",,
id_1647,"
Amapapou","7 Rue du Bois du Bray
77127
Lieusaint",7 Rue du Bois du Bray,CP_77127,Lieusaint,Lieusaint,CI_77251,BV_75056,Paris,ZE_1104,Evry,"48,6313762","2,5574548",,
id_1648,"
Amapassion","Rue du Colonel Pierre Avia
75015
Paris",Rue du Colonel Pierre Avia,CP_75015,Paris,PARIS 15,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,832186","2,2781946",,
id_1649,"
Amap'Aux Potes","Boulevard Jean Baptiste Lebas
59000
Lille",Boulevard Jean Baptiste Lebas,CP_59000,Lille,Lille,CI_59350,BV_59350,Lille,ZE_3216,Lille,"50,6281128","3,0697146",,
id_1650,Amapetit,"Ecole De Cirque De Salaise - 50 Rue De La Rebatière
38150
Salaise-Sur-Sanne",Ecole De Cirque De Salaise - 50 Rue De La Rebatière,CP_38150,Salaise-Sur-Sanne,Salaise-sur-Sanne,CI_38468,BV_38344,Roussillon,ZE_8433,Vienne-Annonay,45.3496279,4.8206685,,
id_1651,"
Amapipo","75007
Paris",,CP_75007,Paris,PARIS 07,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8588897","2,320041022",,
id_1652,"
Amaplaine - Amap De La Plaine Saint-Denis","232 Avenue du Président Wilson
93210
Saint-Denis",232 Avenue du Président Wilson,CP_93210,Saint-Denis,Saint-Denis,CI_93066,BV_75056,Paris,ZE_1109,Paris,"48,91587","2,358129",,
id_1653,"
Amaplaplaine","38400
Saint-Martin-d'Hères",,CP_38400,Saint-Martin-d'Hères,Saint-Martin-d'Hères,CI_38421,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1836683","5,75448",,
id_1654,Amap-Map (Manger Avec Plaisir),"Contard
82600
Mas-Grenier",Contard,CP_82600,Mas-Grenier,Mas-Grenier,CI_82105,BV_82190,Verdun-sur-Garonne,ZE_7615,Montauban,"43,8873008","1,1884318",,
id_1655,"
Amap-Monde","13006
Marseille",,CP_13006,Marseille,MARSEILLE 06,CI_13055,BV_13055,Marseille,ZE_9312,Marseille,"43,2961743","5,3699525",,
id_1656,Amapola,"32 Rue Faidherbe
75011
Paris",32 Rue Faidherbe,CP_75011,Paris,PARIS 11,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,852701","2,383325",,
id_1657,"
Amap'Otagère","104 Rue Florimond Laurent
76620
Le Havre",104 Rue Florimond Laurent,CP_76620,Le Havre,Le Havre,CI_76351,BV_76351,Le Havre,ZE_2813,Le Havre,"49,51767395","0,1158954",,
id_1658,Amapousse,"3 Rue Lou Beroy
64320
Ousse",3 Rue Lou Beroy,CP_64320,Ousse,Ousse,CI_64439,BV_64445,Pau,ZE_7522,Pau,43.2831471,-0.2682274,,
id_1659,Amapp Couteron- Puyricard,"250 Route De Couteron Cave Du Château Lévêque
13100
Aix-en-Provence",250 Route De Couteron Cave Du Château Lévêque,CP_13100,Aix-en-Provence,Aix-en-Provence,CI_13001,BV_13001,Aix-en-Provence,ZE_9301,Aix-en-Provence,43.598627,5.4592415,,
id_1660,"
Amapp De La Salle","Lieu-Dit La Salle
37190
Rivarennes",Lieu-Dit La Salle,CP_37190,Rivarennes,Rivarennes,CI_37200,BV_37123,Langeais,ZE_2406,Chinon,47.25396,0.3540876,,
id_1661,Amapp Les Paniers Bio Des Prés Sur Vanne,"Forge de Chigy
89190
Chigy",Forge de Chigy,CP_89190,Chigy,Les Vallées de la Vanne,CI_89411,BV_89387,Sens,ZE_2717,Sens,48.1987405,3.4835504,,
id_1662,"
Amapp Loire Et Canal","Route De Cernoy Grange Pyramidale
45360
Châtillon Sur Loire",Route De Cernoy Grange Pyramidale,CP_45360,Châtillon Sur Loire,Châtillon-sur-Loire,CI_45087,BV_45053,Briare,ZE_2407,Gien,47.5904231,2.7530968,,
id_1663,"
Amap'Petit","Rue de Dolving
57400
Haut-Clocher",Rue de Dolving,CP_57400,Haut-Clocher,Haut-Clocher,CI_57304,BV_57630,Sarrebourg,ZE_4419,Sarrebourg,"48,7594861","7,0031064",,
id_1664,Amapress,"22 Rue Saint-yves
75014
Paris",22 Rue Saint-yves,CP_75014,Paris,PARIS 14,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8258714","2,3328274",,
id_1665,"
Amap'Tite Contree","Rue de la Mairie
01150
Sainte-Julie",Rue de la Mairie,CP_01150,Sainte-Julie,Sainte-Julie,CI_01366,BV_01244,Meximieux,ZE_8405,Bourg en Bresse,"45,8891473","5,2778816",,
id_1666,"
Aru Angoulême","Centre D'Activité
16000
Angoulême",Centre D'Activité,CP_16000,Angoulême,Angoulême,CI_16015,BV_16015,Angoulême,ZE_7502,Angoulême,45.6484505,0.1561947,,
id_1667,"
Association Alter'Nature","2480 Rte de la Barliette
74300
Arâches-la-Frasse",2480 Rte de la Barliette,CP_74300,Arâches-la-Frasse,Arâches-la-Frasse,CI_74014,BV_74081,Cluses,ZE_8414,La Vallée de l'Arve,"46,0335174","6,6380039",,
id_1668,Association Al'Terres Natives 66,"23 Rue Francois Arago
66130
Bouleternère",23 Rue Francois Arago,CP_66130,Bouleternère,Bouleternère,CI_66023,BV_66088,Ille-sur-Têt,ZE_7620,Perpignan,"42,6491076","2,5876384",,
id_1669,"
Association Des Amapiens Du Golfe","83310
Cogolin",,CP_83310,Cogolin,Cogolin,CI_83042,BV_83042,Cogolin,ZE_9317,Sainte-Maxime,"43,25","6,53659",,
id_1670,Association Echel - Grange Associative - Amap,"25330
Nans-sous-Sainte-Anne",,CP_25330,Nans-sous-Sainte-Anne,Nans-sous-Sainte-Anne,CI_25420,BV_25434,Ornans,ZE_2706,Besançon,"46,9769116","5,9988436",,
id_1671,"
Association Étudiante Cac'Carotte","Pôle Solidarité Et Citoyenneté Université De Technologie De Compiègne Rue Roger Coutolenc
60200
Compiègne",Pôle Solidarité Et Citoyenneté Université De Technologie De Compiègne Rue Roger Coutolenc,CP_60200,Compiègne,Compiègne,CI_60159,BV_60159,Compiègne,ZE_3210,Compiègne,49.4179,2.8261,,
id_1672,"
Association Icare","3 Rue des Daims
68780
Sentheim",3 Rue des Daims,CP_68780,Sentheim,Sentheim,CI_68304,BV_68201,Masevaux-Niederbruck,ZE_4411,Mulhouse,"47,7579409","7,0586534",,
id_1673,"
Association Mosaique","3 Grande Rue de la Mairie
31320
Pechbusque",3 Grande Rue de la Mairie,CP_31320,Pechbusque,Pechbusque,CI_31411,BV_31555,Toulouse,ZE_7625,Toulouse,"43,5289974","1,4572021",,
id_1674,"
Association Panier Des Familles","Place du rond point
33910
Bonzac",Place du rond point,CP_33910,Bonzac,Bonzac,CI_33062,BV_33243,Libourne,ZE_7516,Libourne,45.00628,-0.22336,,
id_1675,"
Association Parenthèse","Les Ufernets
07130
Toulaud",Les Ufernets,CP_07130,Toulaud,Toulaud,CI_07323,BV_26362,Valence,ZE_8431,Valence,"44,9075509","4,8259396",,
id_1676,"
Association Tout Naturellement","73 Chemin de la Petite Bastide
13650
Meyrargues",73 Chemin de la Petite Bastide,CP_13650,Meyrargues,Meyrargues,CI_13059,BV_84089,Pertuis,ZE_9301,Aix-en-Provence,"43,6468","5,51788",,
id_1677,Association Zest - Du Goût Et Des Couleurs,"2 Boulevard Armand Duportal
31000
Toulouse",2 Boulevard Armand Duportal,CP_31000,Toulouse,Toulouse,CI_31555,BV_31555,Toulouse,ZE_7625,Toulouse,"43,6052589","1,43519",,
id_1678,Au Fil De L'Eau Jardin De Cocagne,"Le Bruchet
43120
Monistrol Sur Loire",Le Bruchet,CP_43120,Monistrol Sur Loire,Monistrol-sur-Loire,CI_43137,BV_43137,Monistrol-sur-Loire,ZE_8420,Les Sources de la Loire,45.2926341,4.1727546,,
id_1679,"
Au Jardin Bonheur","12 Rue des Quarante
59132
Ohain",12 Rue des Quarante,CP_59132,Ohain,Ohain,CI_59445,BV_59601,Trélon,ZE_3217,Maubeuge,"50,0279044","4,1173356",,
id_1680,"
Au Jardin De Laurent","4305 Route de la Vallée
26260
Saint-Bardoux",4305 Route de la Vallée,CP_26260,Saint-Bardoux,Saint-Bardoux,CI_26294,BV_26301,Saint-Donat-sur-l'Herbasse,ZE_8427,Romans sur Isère,"45,0745606","4,9865057",,
id_1681,"
Biau Jardin","Scic Le Biau Jardin Moulin Du Roy
63360
Gerzat",Scic Le Biau Jardin Moulin Du Roy,CP_63360,Gerzat,Gerzat,CI_63164,BV_63113,Clermont-Ferrand,ZE_8408,Clermont-Ferrand,45.8250404,3.1435185,,
id_1682,"
Biau Potager","50 Grande Rue
90150
Reppe",50 Grande Rue,CP_90150,Reppe,Reppe,CI_90084,BV_68068,Dannemarie,ZE_2705,Belfort,"47,6673348","7,0283379",,
id_1683,"
Bio Chemins","Grand Village
17270
Clérac",Grand Village,CP_17270,Clérac,Clérac,CI_17110,BV_17241,Montguyon,ZE_7509,Cognac,45.1815802,-0.2286908,,
id_1684,Bio Culture - Les Paniers Bio Et Locaux,"28 Rue de Wolfenbuttel
92310
Sèvres",28 Rue de Wolfenbuttel,CP_92310,Sèvres,Sèvres,CI_92072,BV_75056,Paris,ZE_1109,Paris,"48,8118285","2,2120004",,
id_1685,Bio Sur Orne,"La Pierre (Exmes)
61310
Gouffern en Auge",La Pierre (Exmes),CP_61310,Gouffern en Auge,Gouffern-en-Auge,CI_61474,BV_61006,Argentan,ZE_2801,Argentan,"48,7655346","0,1609331",,
id_1686,"
Biobox","125 Chemin du Sang de Serp
31200
Toulouse",125 Chemin du Sang de Serp,CP_31200,Toulouse,Toulouse,CI_31555,BV_31555,Toulouse,ZE_7625,Toulouse,"43,6203645","1,4232958",,
id_1687,"
Bio'Cal Du Lomont","27 Grande Rue
25190
Montécheroux",27 Grande Rue,CP_25190,Montécheroux,Montécheroux,CI_25393,BV_25463,Pont-de-Roide-Vermondans,ZE_2714,Montbéliard,"47,3494797","6,8052794",,
id_1688,"
Biodirect13","304 Chemin des Arcades
13100
Aix-en-Provence",304 Chemin des Arcades,CP_13100,Aix-en-Provence,Aix-en-Provence,CI_13001,BV_13001,Aix-en-Provence,ZE_9301,Aix-en-Provence,"43,5594399","5,4613671",,
id_1689,"Bioréseau, Amap De Narbonne","Atelier Populaire, 6 Place Belfort
11100
Narbonne","Atelier Populaire, 6 Place Belfort",CP_11100,Narbonne,Narbonne,CI_11262,BV_11262,Narbonne,ZE_7617,Narbonne,43.2908,0.646418,,
id_1690,"
Biosol 62","Rue du Four a Chaux
62280
Saint-Martin-Boulogne",Rue du Four a Chaux,CP_62280,Saint-Martin-Boulogne,Saint-Martin-Boulogne,CI_62758,BV_62160,Boulogne-sur-Mer,ZE_3206,Boulogne-sur-Mer,"50,7152978","1,6252708",,
id_1691,"
Bouteyre Franck Et Mireille","Cante L'Abri
04200
Entrepierres",Cante L'Abri,CP_04200,Entrepierres,Entrepierres,CI_04075,BV_04209,Sisteron,ZE_9307,Digne-les-Bains,"44,1754586","6,0052797",,
id_1692,"
Cagette De Chens","1199 Rte du Lac
74140
Chens-sur-Léman",1199 Rte du Lac,CP_74140,Chens-sur-Léman,Chens-sur-Léman,CI_74070,BV_74105,Douvaine,ZE_8416,Le Genevois Français,"46,3145302","6,2686645",,
id_1693,"
Can La Haut","Quartier Séraut
31350
Boulogne-Sur-Gesse",Quartier Séraut,CP_31350,Boulogne-Sur-Gesse,Boulogne-sur-Gesse,CI_31080,BV_31080,Boulogne-sur-Gesse,ZE_7622,Saint-Gaudens,43.2908,0.646418,,
id_1694,"
Cap Des Monts Du Matin","01400
Romans",,CP_01400,Romans,Romans,CI_01328,BV_01093,Châtillon-sur-Chalaronne,ZE_8405,Bourg en Bresse,"46,1217852","5,0238916",,
id_1695,Capélo,"Place Du Moulin Prouilhe
34220
Courniou",Place Du Moulin Prouilhe,CP_34220,Courniou,Courniou,CI_34086,BV_34284,Saint-Pons-de-Thomières,ZE_7606,Béziers,"43,4970995","2,6946303",,
id_1696,"
Caux'Inelle - Yvetot","Rue Pierre Varin
76190
Yvetot",Rue Pierre Varin,CP_76190,Yvetot,Yvetot,CI_76758,BV_76758,Yvetot,ZE_2819,Yvetot-Vallée du Commerce,"49,618474","0,7641238",,
id_1697,"
Cékankon Amap","12 Cours Beaumond
13400
Aubagne",12 Cours Beaumond,CP_13400,Aubagne,Aubagne,CI_13005,BV_13055,Marseille,ZE_9312,Marseille,"43,2908822","5,5694354",,
id_1698,"
Champs Libres","94120
Fontenay-sous-Bois",,CP_94120,Fontenay-sous-Bois,Fontenay-sous-Bois,CI_94033,BV_75056,Paris,ZE_1109,Paris,"48,8490721","2,4749347",,
id_1699,"
Chantier D'Insertion De La Croix Rouge : Pré Vert","9 Boulevard du Champ aux Métiers
21800
Quetigny",9 Boulevard du Champ aux Métiers,CP_21800,Quetigny,Quetigny,CI_21515,BV_21231,Dijon,ZE_2711,Dijon,"47,3079852","5,1051269",,
id_1700,"
Chants De La Terre","114 Chemin Lauchwerb
68000
Colmar",114 Chemin Lauchwerb,CP_68000,Colmar,Colmar,CI_68066,BV_68066,Colmar,ZE_4405,Colmar,48.0777517,7.3579641,,
id_1701,Chatelamap,"69 Rue Creuzé
86100
Châtellerault",69 Rue Creuzé,CP_86100,Châtellerault,Châtellerault,CI_86066,BV_86066,Châtellerault,ZE_7508,Châtellerault,"46,8158666","0,5356944",,
id_1702,"
Chone Agnès Et François","16 Rue du Château
54800
Puxe",16 Rue du Château,CP_54800,Puxe,Puxe,CI_54440,BV_54273,Jarny,ZE_4410,Metz,"49,1558957","5,791301",,
id_1703,"
Civam Bio 09","Cotes
09240
La Bastide-de-Sérou",Cotes,CP_09240,La Bastide-de-Sérou,La Bastide-de-Sérou,CI_09042,BV_09122,Foix,ZE_7612,Foix-Pamiers,43.0125341,1.4293448,,
id_1704,Collo'Bio,"Avenue du 8 Mai 1945
83610
Collobrières",Avenue du 8 Mai 1945,CP_83610,Collobrières,Collobrières,CI_83043,BV_83137,Toulon,ZE_9318,Toulon,"43,2373216","6,30741",,
id_1705,"
Croc Champs","Mjc De Fresnes
94260
Fresnes",Mjc De Fresnes,CP_94260,Fresnes,Fresnes,CI_94034,BV_75056,Paris,ZE_1109,Paris,"48,7526284","2,3130894",,
id_1706,Croqueurs Et Paysans Gourmands,"Peries
09700
Saverdun",Peries,CP_09700,Saverdun,Saverdun,CI_09282,BV_09282,Saverdun,ZE_7612,Foix-Pamiers,"43,2253132","1,6089698",,
id_1707,"
C-Trait-Bio","La Petite Lande
16500
Brillac",La Petite Lande,CP_16500,Brillac,Brillac,CI_16065,BV_16106,Confolens,ZE_7527,Saint-Junien,46.06095,0.7771525,,
id_1708,"
D'Ac (Dém'Arch Coopérative)","La Grenalière
86210
Archigny",La Grenalière,CP_86210,Archigny,Archigny,CI_86009,BV_86070,Chauvigny,ZE_7508,Châtellerault,46.6724661,0.6516066,,
id_1709,"
Devenez Merveilleux","55 Avenue de l'Europe
37100
Tours",55 Avenue de l'Europe,CP_37100,Tours,Tours,CI_37261,BV_37261,Tours,ZE_2413,Tours,"47,4229289","0,688409",,
id_1710,D'Issy Et D'Ailleurs,"92130
Issy-les-Moulineaux",,CP_92130,Issy-les-Moulineaux,Issy-les-Moulineaux,CI_92040,BV_75056,Paris,ZE_1109,Paris,"48,8250508","2,273457",,double ? 
id_1711,"
Du Champ À L'Assiette","2 Rue Aime Cesaire
25400
Audincourt",2 Rue Aime Cesaire,CP_25400,Audincourt,Audincourt,CI_25031,BV_25388,Montbéliard,ZE_2714,Montbéliard,"47,484201","6,8396401",,double ? 
id_1712,"
Du Goût Et Des Couleurs","11 Rue Du Château
02160
Vauxcere",11 Rue Du Château,CP_02160,Vauxcere,Les Septvallons,CI_02439,BV_51250,Fismes,ZE_3221,Soissons,"49,3398052","3,6366852",,
id_1713,"
Earl Brechotte","Coumarque Haut
47200
Fourques-sur-Garonne",Coumarque Haut,CP_47200,Fourques-sur-Garonne,Fourques-sur-Garonne,CI_47101,BV_47157,Marmande,ZE_7518,Marmande,44.448574,0.1584086,,
id_1714,Earl Fra Christine,"Les Grangions
84400
Lagarde D'Apt",Les Grangions,CP_84400,Lagarde D'Apt,Lagarde-d'Apt,CI_84060,BV_84123,Sault,ZE_9306,Cavaillon,"44,0171833","5,4706091",,
id_1715,"
Eco Relais De L'Etoile","Parking Groupe Scolaire Estello
13119
Saint Savournin",Parking Groupe Scolaire Estello,CP_13119,Saint Savournin,Saint-Savournin,CI_13101,BV_13055,Marseille,ZE_9301,Aix-en-Provence,43.4085,5.5269,,
id_1716,"
Eirl Les Jardins De Malibert","Route De La Louvière - Donnadieu
34360
Babeau Bouldoux",Route De La Louvière - Donnadieu,CP_34360,Babeau Bouldoux,Babeau-Bouldoux,CI_34021,BV_34245,Saint-Chinian,ZE_7606,Béziers,"43,4248388","2,8910646",,
id_1717,"
Elian Faussié","Domaine De Festes
11170
Moussoulens",Domaine De Festes,CP_11170,Moussoulens,Moussoulens,CI_11259,BV_11069,Carcassonne,ZE_7608,Carcassonne-Limoux,43.2793345,2.2284376,,
id_1718,Elisabeth Carbone - Amap Conseil,"Montmaur
19500
Marcillac La Croze",Montmaur,CP_19500,Marcillac La Croze,Marcillac-la-Croze,CI_19126,BV_19138,Meyssac,ZE_7507,Brive-la-Gaillarde,"45,0397953","1,7472343",,
id_1719,En Partenariat Avec Consom'Solidaire,"38 Rue Clisson
75013
Paris",38 Rue Clisson,CP_75013,Paris,PARIS 13,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8319182","2,3668285",,
id_1720,"
Enverts","46 Allée D'Italie
69364
Lyon",46 Allée D'Italie,CP_69364,Lyon,LYON CEDEX 07,CI_69123,BV_69123,Lyon,ZE_8421,Lyon,45.74846,4.84671,,
id_1721,Epicerie Éco-Citoyenne Altermarché Et Amap Fanes De Saint Maur,"52 Avenue Jeanne d'Arc
94210
Saint-Maur-des-Fossés",52 Avenue Jeanne d'Arc,CP_94210,Saint-Maur-des-Fossés,Saint-Maur-des-Fossés,CI_94068,BV_75056,Paris,ZE_1109,Paris,"48,7937763","2,5009158",,
id_1722,"
Esat De L'Arche","11 Rue Roquin
60350
Trosly-Breuil",11 Rue Roquin,CP_60350,Trosly-Breuil,Trosly-Breuil,CI_60647,BV_60159,Compiègne,ZE_3210,Compiègne,"49,4003147","2,968506",,
id_1723,Ferme À L'Envers,"3349 Rte de Saint Etienne de Tulmont
82370
Saint-Nauphary

",3349 Rte de Saint Etienne de Tulmont,CP_82370,Saint-Nauphary,Saint-Nauphary,CI_82167,BV_82121,Montauban,ZE_7615,Montauban,"43,9642841","1,4290403",,
id_1724,"
Ferme Aux Cailloux","13 Route de Saint Florentin
89320
Arces-Dilo",13 Route de Saint Florentin,CP_89320,Arces-Dilo,Arces-Dilo,CI_89014,BV_89345,Saint-Florentin,ZE_2717,Sens,"48,0900158","3,6010582",,
id_1725,"
Ferme De La Jonquille","Le Bourg
63150
Murat Le Quaire",Le Bourg,CP_63150,Murat Le Quaire,Murat-le-Quaire,CI_63246,BV_63047,La Bourboule-Mont-Dore,ZE_8408,Clermont-Ferrand,45.597743,2.7337149,,
id_1726,"
Ferme De Luc","65000
Tarbes",,CP_65000,Tarbes,Tarbes,CI_65440,BV_65440,Tarbes,ZE_7624,Tarbes-Lourdes,"43,232858","0,0781021",,
id_1727,"
Ferme De Neuilly","108 Avenue Charles de Gaulle
92200
Neuilly-sur-Seine",108 Avenue Charles de Gaulle,CP_92200,Neuilly-sur-Seine,Neuilly-sur-Seine,CI_92051,BV_75056,Paris,ZE_1109,Paris,"48,8825588","2,2685193",,
id_1728,"
Ferme De Noé","630 Chemin de Verlaque
13530
Trets",630 Chemin de Verlaque,CP_13530,Trets,Trets,CI_13110,BV_13001,Aix-en-Provence,ZE_9301,Aix-en-Provence,"43,4886333","5,6636313",,
id_1729,"
Ferme De Saintary","Saintary
23140
Rimondeix",Saintary,CP_23140,Rimondeix,Parsac-Rimondeix,CI_23149,BV_23096,Guéret,ZE_7511,Guéret,"46,2327025","2,1276632",,
id_1730,"
Ferme De Sous-La-Côte","La Ferme De Sous La Côte
25340
Fontaine-Lès-Clerval",La Ferme De Sous La Côte,CP_25340,Fontaine-Lès-Clerval,Fontaine-lès-Clerval,CI_25246,BV_25315,L'Isle-sur-le-Doubs,ZE_2714,Montbéliard,47.4256897,6.4728244,,
id_1731,"
Ferme Des Buers","33 Rue du 8 Mai 1945
69100
Villeurbanne",33 Rue du 8 Mai 1945,CP_69100,Villeurbanne,Villeurbanne,CI_69266,BV_69123,Lyon,ZE_8421,Lyon,"45,7798623","4,8918951",,
id_1732,"
Ferme Des Grands Noyers","72110
Les Grands Noyers",,CP_72110,Les Grands Noyers,Bonnétable,CI_72039,BV_72039,Bonnétable,ZE_5208,La Ferté-Bernard,"48,0875875","0,2856826",,
id_1733,"
Ferme Des Tilleuls","11 Chemin de Thezy
80800
Gentelles",11 Chemin de Thezy,CP_80800,Gentelles,Gentelles,CI_80376,BV_80021,Amiens,ZE_3202,Amiens,49.8456793,2.453498,,
id_1734,Ferme D'Osaane,"Rue des Ecoles
76940
Vatteville-la-Rue",Rue des Ecoles,CP_76940,Vatteville-la-Rue,Vatteville-la-Rue,CI_76727,BV_76164,Rives-en-Seine,ZE_2819,Yvetot-Vallée du Commerce,"49,5030872","0,7018162",,
id_1735,"
Ferme Du Moulin De Rousset","87140
Vaulry",,CP_87140,Vaulry,Vaulry,CI_87198,BV_87085,Limoges,ZE_7517,Limoges,"46,0230427","1,0858118",,
id_1736,"
Ferme Duboé","54B Rue des Pyrénées
65200
Trébons",54B Rue des Pyrénées,CP_65200,Trébons,Trébons,CI_65451,BV_65059,Bagnères-de-Bigorre,ZE_7624,Tarbes-Lourdes,"43,0998433","0,1197812",,
id_1737,Ferme Fromagerie Du Castillon,"Le Castillon
76430
St Vincent Cramesnil",Le Castillon,CP_76430,St Vincent Cramesnil,Saint-Vincent-Cramesnil,CI_76658,BV_76647,Saint-Romain-de-Colbosc,ZE_2813,Le Havre,"49,5052836","0,3425021",,
id_1738,"
Ferme Sapousse","Rue Charles Michels
91740
Pussay",Rue Charles Michels,CP_91740,Pussay,Pussay,CI_91511,BV_91016,Angerville,ZE_1103,Etampes,"48,3484898","1,9902779",,
id_1739,"
France Miegemolle","Le Bernes
31430
Le Fousseret",Le Bernes,CP_31430,Le Fousseret,Le Fousseret,CI_31193,BV_31135,Cazères,ZE_7622,Saint-Gaudens,43.281098,1.0650888,,
id_1740,"
Gabriel Illig","1 All Hubert Latham
54420
Saulxures-lès-Nancy",1 All Hubert Latham,CP_54420,Saulxures-lès-Nancy,Saulxures-lès-Nancy,CI_54495,BV_54395,Nancy,ZE_4412,Nancy,"48,6888729","6,241754",,
